participant_id	spirit_probability	data_quality	session_count
2a0d7a69-f953-4c29-87a5-8a8e4e8bd413_participant_1	0.764	75.52945932574974	3
2a0d7a69-f953-4c29-87a5-8a8e4e8bd413_participant_2	0.504	71.1503484701534	3
2a0d7a69-f953-4c29-87a5-8a8e4e8bd413_participant_3	0.928	76.61466652812382	1
2a0d7a69-f953-4c29-87a5-8a8e4e8bd413_participant_4	0.753	72.41073029737697	2
2a0d7a69-f953-4c29-87a5-8a8e4e8bd413_participant_5	0.331	65.91488557094195	1
2a0d7a69-f953-4c29-87a5-8a8e4e8bd413_participant_6	0.237	81.42221292467003	1
2a0d7a69-f953-4c29-87a5-8a8e4e8bd413_participant_7	0.609	73.07893223030766	1
2a0d7a69-f953-4c29-87a5-8a8e4e8bd413_participant_8	0.786	82.54354441692685	3
2a0d7a69-f953-4c29-87a5-8a8e4e8bd413_participant_9	0.885	67.73315479182949	2
2a0d7a69-f953-4c29-87a5-8a8e4e8bd413_participant_10	0.960	73.12024894048932	2
2a0d7a69-f953-4c29-87a5-8a8e4e8bd413_participant_11	0.446	74.92277543480473	3
2a0d7a69-f953-4c29-87a5-8a8e4e8bd413_participant_12	0.553	67.51288550320432	3
